ReportType,PostingDateStart,PostingDateEnd,MsrbId,Cusip6,Cusip9,IssuerName,ObligorName,CouponPercent,ClearingId,EBS,Spread,CompanyName,NumTimesToRun
Q20,6/1/2010,5/31/2013,,717817,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,71884A,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,STREET,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,HEALTHCARE,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,NEW YORK,,,,,,1
Q20,6/1/2010,5/31/2013,,729212,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,735240,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,745181,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,745190,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,BOARD OF EDUCATION,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,TOWN,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,CITY,,,,,,1
Q30,6/1/2010,5/31/2013,,759911,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,762197,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,76222W,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,786702,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0976,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1009,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1012,,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,49130P,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,575823,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,COMMUNITY,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,BOND,,,,,,1
Q30,6/1/2009,5/31/2012,,604128,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,789636,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0105,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0785,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,797272,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,491207,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,60534Q,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A4258,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A4861,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A6566,,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,626207,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,79739G,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,79765D,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,83710D,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,83755L,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,85230M,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,745145,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,797645,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,880540,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,875231,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,880541,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,924214,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,92817Q,,,,,,,,,1
Q20,6/1/2010,5/31/2013,,956695,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,97705L,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,977092,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0079,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0365,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A0455,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A1070,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A2110,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A4258,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,A4700,,,,,,,,,,1
Q20,6/1/2010,5/31/2013,B0474,,,,,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,DIST,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,SCHOOL DISTRICT,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,AIRPORT,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,STATE,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,COMPANY,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,CORPORATION,,,,,,1
Q30,6/1/2010,5/31/2013,,,,,TEXAS,,,,,,1
Q20,1/1/2010,6/1/2010,,59259R,,,,,,,,,1
Q30,1/1/2010,6/1/2010,,59259R,,,,,,,,,1
Q20,1/1/2010,6/1/2010,A0278,,,,,,,,,,1
Q20,1/1/2010,6/1/2010,,,967331CW7 97670FAJ0,,,,,,,,1
Q30,1/1/2010,6/1/2010,,,,,HARBOR,,,,,,1
Q30,1/1/2010,6/1/2010,,,66272RAC6 66272RAD4,,,,,,,,1
Q30,6/1/2009,5/31/2012,,011832,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,20772E,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,373541,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,49118M,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,658203,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,880557,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,927780,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,927781,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,92817P,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,92817Q,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,977055,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,977056,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,977123,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0079,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A0104,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1070,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1126,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1172,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1218,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1290,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1313,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A1487,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A2110,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,A6962,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,B0368,,,,,,,,,,1
Q20,6/1/2009,5/31/2012,B0474,,,,,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,WATER,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,PARK,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,PARK DISTRICT,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,NEW JERSEY,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,WASHINGTON,,,,,,1
Q30,6/1/2009,5/31/2012,,,,,CENTER,,,,,,1
